Address: 0x1165C1C
                                       00 01 02 03 04 05 06 07 08 09 0A 0B 0C 0D 0E 0F
---------------------------------------------------------------------------------------
Nut Bread                            | 01 00 10 00 01 00 27 11 5E 00 00 00 00 00 00 00
Running Bomb                         | 01 00 10 00 FA 01 16 09 97 00 00 00 42 00 00 00
Ancient Banana                       | 01 00 10 00 95 02 30 1B 9E 00 00 00 46 00 00 00
Aries Bracelet                       | 01 00 10 00 0C 00 0D 10 4E 00 00 00 03 00 00 00
Rotten Milk                          | 01 00 10 00 73 02 0C 0A 61 00 00 00 29 00 00 00
Peculiar Cheese                      | 01 00 10 00 6A 00 0B 08 69 00 00 00 21 00 00 00
Pisces Bracelet                      | 01 00 10 00 95 02 10 0D 50 00 00 00 47 00 00 00
Beef Jerky                           | 01 00 10 00 95 02 29 12 65 00 00 00 48 00 00 00
Beef Jerky                           | 01 00 10 00 95 02 20 1C 65 00 00 00 49 00 00 00
Ancient Banana                       | 21 00 10 00 96 02 30 1B 9E 00 00 00 46 00 00 00
Beef Jerky                           | 01 00 10 00 6A 00 13 08 65 00 00 00 22 00 00 00
Chick Bandana                        | 01 00 10 00 F9 01 18 16 3A 00 00 00 40 00 00 00
Aquarius Bracelet                    | 01 00 10 00 16 00 1E 1B 4F 00 00 00 10 00 00 00
Attic Guide                          | 03 00 10 00 35 01 17 0C F6 00 00 00 66 00 00 00
Sprinting Bomb                       | 01 00 10 00 17 00 28 42 98 00 00 00 18 00 00 00
Beef Jerky                           | 01 00 10 00 17 00 25 0B 65 00 00 00 19 00 00 00
Pisces Bracelet                      | 21 00 10 00 96 02 10 0D 50 00 00 00 47 00 00 00
Nut Bread                            | 01 00 10 00 19 00 3B 17 5E 00 00 00 1A 00 00 00
Beef Jerky                           | 01 00 10 00 19 00 0E 1C 65 00 00 00 1B 00 00 00
Magic Pudding                        | 01 00 10 00 9C 01 08 0C 89 00 00 00 AF 00 00 00
Cave Map                             | 03 00 10 00 9A 01 19 0E F9 00 00 00 AE 00 00 00
Sprinting Bomb                       | 01 00 10 00 3D 01 14 08 98 00 00 00 6A 00 00 00
Secret Herb                          | 01 00 10 00 93 01 0E 0D 93 00 00 00 7A 00 00 00
Pencil Rocket                        | 01 00 10 00 7C 01 13 14 99 00 00 00 6F 00 00 00
Doggy Biscuit                        | 01 00 10 00 72 01 06 17 72 00 00 00 73 00 00 00
Gemini Bracelet                      | 01 00 10 00 95 01 09 17 53 00 00 00 74 00 00 00
Chic Gloves                          | 01 00 10 00 93 01 25 1A 0F 00 00 00 76 00 00 00
Brown Collar                         | 01 00 10 00 D9 01 0E 06 2F 00 00 00 78 00 00 00
Nut Bread                            | 01 00 10 00 51 00 1A 08 5E 00 00 00 C0 00 00 00
Tower Sketch                         | 03 00 10 00 AE 01 07 0C FB 00 00 00 7B 00 00 00
Pencil Rocket                        | 01 00 10 00 B5 01 17 09 99 00 00 00 7C 00 00 00
Beef Jerky                           | 01 00 10 00 B1 00 22 0F 65 00 00 00 82 00 00 00
Rotten Milk                          | 01 00 10 00 B1 00 33 36 61 00 00 00 87 00 00 00
Doggy Biscuit                        | 01 00 10 00 6D 01 14 0B 72 00 00 00 8E 00 00 00
Pork Stew                            | 01 00 10 00 4F 01 14 07 76 00 00 00 8F 00 00 00
Bread Roll                           | 01 00 10 00 27 00 60 03 6C 00 00 00 5A 00 00 00
Siren Beetle                         | 01 00 10 00 6F 00 13 07 D7 00 00 00 1C 00 00 00
Nut Bread                            | 01 00 10 00 24 00 08 06 5E 00 00 00 01 00 00 00
Smoke Bomb                           | 01 00 10 00 6F 00 11 08 D8 00 00 00 1D 00 00 00
Beef Jerky                           | 21 00 10 00 96 02 29 12 65 00 00 00 48 00 00 00
Beef Jerky                           | 21 00 10 00 96 02 20 1C 65 00 00 00 49 00 00 00
Sprinting Bomb                       | 01 00 10 00 25 00 38 0A 98 00 00 00 4F 00 00 00
Bread Roll                           | 01 00 10 00 25 00 08 06 6C 00 00 00 50 00 00 00
Beef Jerky                           | 01 00 10 00 25 00 36 25 65 00 00 00 51 00 00 00
Cup of Lifenoodles                   | 01 00 10 00 CE 00 0A 34 94 00 00 00 94 00 00 00
Cow Hat                              | 01 00 10 00 B2 01 09 09 42 00 00 00 7E 00 00 00
Beef Jerky                           | 01 00 10 00 4C 00 0D 10 65 00 00 00 52 00 00 00
Magic Tart                           | 01 00 10 00 B2 00 0F 37 88 00 00 00 8C 00 00 00
Peculiar Cheese                      | 01 00 10 00 49 00 16 07 69 00 00 00 53 00 00 00
Pisces Bracelet                      | 01 00 10 00 49 00 0A 27 50 00 00 00 54 00 00 00
Chimera Lab Map                      | 03 00 10 00 65 01 08 0B FC 00 00 00 89 00 00 00
Black Collar                         | 01 00 10 00 CE 00 08 36 30 00 00 00 93 00 00 00
Baked Yam                            | 01 00 10 00 4B 00 1A 69 B7 00 00 00 55 00 00 00
Bread Roll                           | 01 00 10 00 4B 00 05 06 6C 00 00 00 56 00 00 00
Sprinting Bomb                       | 01 00 10 00 4B 00 19 0D 98 00 00 00 57 00 00 00
Double Jerky                         | 01 00 10 00 5C 00 17 36 7D 00 00 00 97 00 00 00
Magic Pudding                        | 01 00 10 00 47 01 0A 09 89 00 00 00 99 00 00 00
Beef Jerky                           | 01 00 10 00 17 00 27 3B 65 00 00 00 5B 00 00 00
Sprinting Bomb                       | 01 00 10 00 2C 00 38 04 98 00 00 00 5D 00 00 00
Flea Powder                          | 01 00 10 00 2E 00 3D 0C 92 00 00 00 5E 00 00 00
Bread Roll                           | 01 00 10 00 2E 00 27 03 6C 00 00 00 5F 00 00 00
Magic Gloves                         | 01 00 10 00 4E 00 05 27 11 00 00 00 90 00 00 00
Eye Drops                            | 01 00 10 00 2F 00 2A 09 91 00 00 00 60 00 00 00
Magic Pudding                        | 01 00 10 00 7A 01 17 0A 89 00 00 00 88 00 00 00
Cup of Lifenoodles                   | 01 00 10 00 5C 00 19 15 94 00 00 00 9A 00 00 00
Nut Bread                            | 01 00 10 00 58 00 1A 08 5E 00 00 00 C0 00 00 00
Double Jerky                         | 21 00 10 00 BB 00 0F 06 7D 00 00 00 91 00 00 00
Area Map                             | 03 00 10 00 30 00 12 0C F5 00 00 00 61 00 00 00
Saltwater Gun                        | 01 00 10 00 33 00 11 08 A1 00 00 00 63 00 00 00
Magic Tart                           | 01 00 10 00 32 00 04 2B 88 00 00 00 62 00 00 00
Bug Spray                            | 01 00 10 00 35 01 0D 08 A0 00 00 00 67 00 00 00
Antidote                             | 01 00 10 00 3A 01 10 0C 8B 00 00 00 69 00 00 00
Cancer Bracelet                      | 21 00 10 00 BD 00 05 0C 54 00 00 00 92 00 00 00
Bag of Big City Fries                | 01 00 10 00 38 01 10 08 71 00 00 00 6B 00 00 00
Magic Gelatin                        | 01 00 10 00 37 01 0B 0D 87 00 00 00 6C 00 00 00
Bag of Pork Chips                    | 01 00 10 00 38 00 16 29 6A 00 00 00 71 00 00 00
Secret Herb                          | 01 00 10 00 38 00 0B 1F 93 00 00 00 70 00 00 00
Thunder Bomb                         | 01 00 10 00 03 00 15 04 96 00 00 00 83 00 00 00
Thunder Bomb                         | 01 00 10 00 20 00 14 05 96 00 00 00 84 00 00 00
Ultimate Shoes                       | 01 00 10 00 43 03 0B 0B 19 00 00 00 BA 00 00 00
Magic Pudding                        | 01 00 10 00 2D 03 1B 17 89 00 00 00 BD 00 00 00
Favorite Pizza                       | 21 00 10 00 65 03 0D 08 81 00 00 00 BE 00 00 00
Angel Gloves                         | 21 00 10 00 68 03 1A 16 14 00 00 00 BF 00 00 00
Goddess Bustier                      | 01 00 10 00 9D 01 0D 0A 37 00 00 00 B0 00 00 00
Capricorn Bracelet                   | 01 00 10 00 7C 01 19 10 51 00 00 00 6D 00 00 00
Beef Jerky                           | 01 00 10 00 7C 01 11 12 65 00 00 00 6E 00 00 00
Highway Map                          | 03 00 10 00 80 01 0E 51 FE 00 00 00 72 00 00 00
Magic Gloves                         | 01 00 10 00 AE 00 05 27 11 00 00 00 90 00 00 00
Magic Gloves                         | 01 00 10 00 AD 00 05 27 11 00 00 00 90 00 00 00
Luxury Banana                        | 01 00 10 00 FC 00 13 08 6B 00 00 00 C3 00 00 00
Ancient Banana                       | 01 00 10 00 FC 00 15 09 9E 00 00 00 C4 00 00 00
Luxury Banana                        | 01 00 10 00 FC 00 0B 07 6B 00 00 00 C5 00 00 00
Luxury Banana                        | 01 00 10 00 FC 00 09 0D 6B 00 00 00 C6 00 00 00
Luxury Banana                        | 01 00 10 00 FC 00 16 0B 6B 00 00 00 C7 00 00 00
Luxury Banana                        | 01 00 10 00 FC 00 14 0C 6B 00 00 00 C8 00 00 00
Magic Cake                           | 01 00 10 00 54 03 1B 18 8A 00 00 00 C9 00 00 00
Real Bat                             | 01 00 10 00 2A 03 12 22 24 00 00 00 CE 00 00 00
Pencil Eraser                        | 01 00 10 00 21 03 13 08 C0 00 00 00 CF 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
Pencil Rocket                        | 01 00 10 00 5C 00 07 3E 99 00 00 00 9B 00 00 00
DCMC Pamphlet                        | 01 00 10 00 B7 01 12 0F 21 00 00 00 7D 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
Secret Herb                          | 01 00 10 00 BA 01 0C 14 93 00 00 00 7F 00 00 00
Made-You-Look                        | 01 00 10 00 BA 01 1E 10 A7 00 00 00 80 00 00 00
Saltwater Gun                        | 01 00 10 00 BA 01 1F 13 A1 00 00 00 81 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
Black Collar                         | 01 00 10 00 07 00 08 36 30 00 00 00 93 00 00 00
Cup of Lifenoodles                   | 01 00 10 00 07 00 0A 34 94 00 00 00 94 00 00 00
Strawberry Tofu                      | 01 00 10 00 89 00 0D 03 78 00 00 00 0E 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
Virgo Bracelet                       | 01 00 10 00 46 01 07 1E 56 00 00 00 A0 00 00 00
Sea Floor Map                        | 03 00 10 00 46 01 1B 21 F8 00 00 00 9F 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
Magic Tart                           | 01 00 10 00 47 01 1A 24 88 00 00 00 A5 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
Cup of Lifenoodles                   | 01 00 10 00 4A 01 10 23 94 00 00 00 A4 00 00 00
Magic Tart                           | 01 00 10 00 76 01 0C 0C 88 00 00 00 98 00 00 00
Double Jerky                         | 01 00 10 00 49 01 1B 22 7D 00 00 00 A2 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
Magic Tart                           | 01 00 10 00 49 01 14 17 88 00 00 00 A3 00 00 00
Bomb                                 | 01 00 10 00 77 01 0A 10 9A 00 00 00 D0 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
Awesome Crown                        | 01 00 10 00 79 01 16 0D 4D 00 00 00 A1 00 00 00
Luxury Banana                        | 01 00 10 00 BE 00 08 08 6B 00 00 00 A6 00 00 00
Cup of Lifenoodles                   | 01 00 10 00 BE 00 19 10 94 00 00 00 A7 00 00 00
Fairy Ribbon                         | 01 00 10 00 BE 00 37 2F 49 00 00 00 AA 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
Saltwater Gun                        | 01 00 10 00 5E 01 12 07 A1 00 00 00 8A 00 00 00
Luxury Banana                        | 01 00 10 00 BA 00 09 18 6B 00 00 00 9E 00 00 00
Bomb                                 | 01 00 10 00 62 01 1A 0A 9A 00 00 00 8B 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
Secret Herb                          | 01 00 10 00 6B 01 08 08 93 00 00 00 8D 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
Fresh Mint                           | 01 00 10 00 6D 02 16 0A 8E 00 00 00 26 00 00 00
Vigor Stick                          | 21 00 10 00 61 00 04 21 09 00 00 00 AC 00 00 00
Hypno-Pendulum                       | 01 00 10 00 6F 00 03 0C D9 00 00 00 1E 00 00 00
Scary Mask                           | 01 00 10 00 6F 00 0D 08 DA 00 00 00 1F 00 00 00
Swallow Bandana                      | 21 00 10 00 61 00 2C 1E 3D 00 00 00 AD 00 00 00
Tickle Stick                         | 01 00 10 00 6F 00 09 08 DB 00 00 00 20 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
Magic Tart                           | 01 00 10 00 62 00 16 27 88 00 00 00 B3 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
Edible Mushroom                      | 01 00 10 00 85 00 11 06 63 00 00 00 F9 00 00 00
Big City Burger                      | 03 00 10 00 85 00 12 06 70 00 00 00 FA 00 00 00
EMPTY                                | 81 00 10 00 86 00 05 25 00 00 D0 07 FB 00 00 00
Cancer Bracelet                      | 01 00 10 00 86 00 30 0E 54 00 00 00 FC 00 00 00
Grilled Chicken                      | 01 00 30 00 86 00 3B 35 7E 00 00 00 FD 00 00 00
Noble Spittoon                       | 01 00 10 00 86 00 08 2E DD 00 00 00 FE 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
Underground Map                      | 03 00 10 00 F4 01 0C 21 F3 00 00 00 3C 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
Saltwater Gun                        | 01 00 10 00 BA 00 0D 20 A1 00 00 00 9D 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
Rotten Milk                          | 01 00 10 00 C7 02 25 1B 61 00 00 00 18 01 00 00
Rotten Milk                          | 01 00 10 00 C7 02 23 1E 61 00 00 00 19 01 00 00
Rotten Milk                          | 01 00 10 00 C7 02 1F 20 61 00 00 00 1A 01 00 00
Rotten Milk                          | 01 00 10 00 C7 02 1B 20 61 00 00 00 1B 01 00 00
Rotten Milk                          | 01 00 10 00 C7 02 19 23 61 00 00 00 1C 01 00 00
Rotten Milk                          | 01 00 10 00 C7 02 17 26 61 00 00 00 1D 01 00 00
Rotten Milk                          | 01 00 10 00 C7 02 14 26 61 00 00 00 1E 01 00 00
Rotten Milk                          | 01 00 10 00 C7 02 10 25 61 00 00 00 1F 01 00 00
Rotten Milk                          | 01 00 10 00 C7 02 0E 21 61 00 00 00 20 01 00 00
Rotten Milk                          | 01 00 10 00 C7 02 0D 1E 61 00 00 00 21 01 00 00
Rotten Milk                          | 01 00 10 00 C7 02 0B 1B 61 00 00 00 22 01 00 00
Rotten Milk                          | 01 00 10 00 C7 02 0A 18 61 00 00 00 23 01 00 00
Rotten Milk                          | 01 00 10 00 C7 02 0A 14 61 00 00 00 24 01 00 00
Rotten Milk                          | 01 00 10 00 C7 02 0A 10 61 00 00 00 25 01 00 00
Rotten Milk                          | 01 00 10 00 C7 02 0F 0D 61 00 00 00 26 01 00 00
Rotten Milk                          | 01 00 10 00 C7 02 15 0E 61 00 00 00 27 01 00 00
Rotten Milk                          | 01 00 10 00 C7 02 1A 0F 61 00 00 00 28 01 00 00
Rotten Milk                          | 01 00 10 00 C7 02 20 0F 61 00 00 00 29 01 00 00
Rotten Milk                          | 01 00 10 00 C7 02 25 11 61 00 00 00 2A 01 00 00
Rotten Milk                          | 01 00 10 00 C7 02 26 16 61 00 00 00 2B 01 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
EMPTY                                | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
